date,campaign_id,campaign_name,channel,source_medium,ad_group,creative_type,device,region,audience_segment,landing_page,funnel_stage,impressions,clicks,sessions,conversions,conversion_rate,cost_krw,revenue_krw,avg_order_value_krw,roas,bounce_rate,cart_adds,checkout_starts,signups,email_opt_ins,coupon_uses,returning_user_rate,quality_score,experiment_group
2026-04-10,CMP-2026-010,Weekend_Flash_Sale,Display,programmatic_cpm,Promo_Seekers,Newsletter,Desktop,Ulsan,Cart_Abandoners,/checkout,Awareness,20283,365,294,13,4.42%,490195,1198197,92169,2.44,56.91%,34,24,19,13,4,21%,6,Control
2026-04-11,CMP-2026-001,Spring_CVR_Boost,Paid_Search,google_cpc,Brand_Terms,Native_Article,Mobile,Seoul,VIP_Customers,/checkout,Awareness,17900,582,483,23,4.76%,937020,1819300,79100,1.94,58.14%,50,26,33,12,4,26%,6,Control
2026-04-12,CMP-2026-002,Remarketing_Checkout,Paid_Social,kakao_paid,Lookalike_1pct,Static_Image,Desktop,Daegu,New_Prospects,/blog/cvr-guide,Consideration,18317,458,392,23,5.87%,685626,1863713,81031,2.72,58.28%,46,27,29,11,5,31%,6,Control
2026-04-13,CMP-2026-003,Search_Brand_Core,Display,programmatic_cpm,New_Visitors,Short_Video,Tablet,Gwangju,High_Intent,/pricing,Conversion,18734,534,470,35,7.45%,285156,2903670,82962,10.18,57.77%,64,41,35,16,10,36%,7,Variant_A
2026-04-14,CMP-2026-004,Social_Video_Launch,Direct,brand_direct,Retargeting_7d,Carousel,Mobile,Gangwon,Price_Sensitive,/promo/spring,Retention,19151,613,555,36,6.49%,337763,3056148,84893,9.05,60.81%,73,51,36,22,12,41%,6,Variant_A
2026-04-15,CMP-2026-005,Email_Nurture_Series,Paid_Social,meta_paid,Cart_Abandoners,Text_Search,Desktop,Busan,Dormant_Users,/checkout,Awareness,19568,695,646,36,5.57%,478160,3125664,86824,6.54,50.2%,82,43,37,28,6,60%,7,Variant_A
2026-04-16,CMP-2026-006,Affiliate_Review_Push,Email,newsletter_email,Loyalty_Members,Product_Feed,Tablet,Daejeon,Returning_Visitors,/blog/cvr-guide,Consideration,19985,919,717,55,7.67%,537615,4881525,88755,9.08,48.96%,95,55,55,17,13,51%,8,Variant_B
2026-04-17,CMP-2026-007,Display_Prospecting,Referral,review_blog_referral,Competitor_Terms,Newsletter,Mobile,Jeju,Cart_Abandoners,/pricing,Conversion,20402,867,698,55,7.88%,521934,4987730,90686,9.56,50.37%,97,62,55,20,15,56%,8,Variant_B
2026-04-18,CMP-2026-008,Loyalty_Winback,Paid_Search,naver_cpc,Nonbrand_Generic,Native_Article,Desktop,Gyeonggi,VIP_Customers,/promo/spring,Retention,20819,1187,985,87,8.83%,1031503,8057679,92617,7.81,50.74%,149,104,87,33,29,61%,8,Variant_B
2026-04-19,CMP-2026-009,Product_Demo_Trial,Organic_Search,google_organic,Product_Viewers,Short_Video,Tablet,Incheon,New_Prospects,/checkout,Awareness,21236,382,327,20,6.12%,242952,1890960,94548,7.78,56.23%,42,22,20,13,4,12%,7,Control
2026-04-20,CMP-2026-010,Weekend_Flash_Sale,Affiliate,partner_affiliate,Promo_Seekers,Carousel,Mobile,Ulsan,High_Intent,/blog/cvr-guide,Consideration,21653,466,410,31,7.56%,304298,2990849,96479,9.83,55.92%,60,35,31,18,7,17%,8,Control
2026-04-21,CMP-2026-001,Spring_CVR_Boost,Paid_Search,naver_cpc,Brand_Terms,Text_Search,Tablet,Seoul,Price_Sensitive,/blog/cvr-guide,Awareness,19270,694,628,31,4.94%,638480,2585710,83410,4.05,61.28%,65,42,36,15,9,22%,6,Control
2026-04-22,CMP-2026-002,Remarketing_Checkout,Organic_Search,google_organic,Lookalike_1pct,Product_Feed,Mobile,Daegu,Dormant_Users,/pricing,Consideration,19687,561,522,26,4.98%,385407,2218866,85341,5.76,62.93%,56,39,33,15,9,41%,6,Variant_A
2026-04-23,CMP-2026-003,Search_Brand_Core,Affiliate,partner_affiliate,New_Visitors,Newsletter,Desktop,Gwangju,Returning_Visitors,/promo/spring,Conversion,20104,643,502,41,8.17%,452672,3578152,87272,7.9,46.56%,72,41,41,17,7,32%,8,Variant_A
2026-04-24,CMP-2026-004,Social_Video_Launch,Paid_Search,google_cpc,Retargeting_7d,Native_Article,Tablet,Gangwon,Cart_Abandoners,/checkout,Retention,20521,954,768,57,7.42%,926334,5084571,89203,5.49,49.31%,108,63,58,30,13,37%,7,Variant_A
2026-04-25,CMP-2026-005,Email_Nurture_Series,Paid_Social,kakao_paid,Cart_Abandoners,Static_Image,Mobile,Busan,VIP_Customers,/blog/cvr-guide,Awareness,20938,817,678,32,4.72%,700986,2916288,91134,4.16,54.79%,80,51,32,30,9,42%,7,Variant_B
2026-04-26,CMP-2026-006,Affiliate_Review_Push,Display,programmatic_cpm,Loyalty_Members,Short_Video,Desktop,Daejeon,New_Prospects,/pricing,Consideration,21355,908,776,50,6.44%,685540,4653250,93065,6.79,54.08%,93,65,50,19,17,47%,7,Variant_B
2026-04-27,CMP-2026-007,Display_Prospecting,Direct,brand_direct,Competitor_Terms,Carousel,Tablet,Jeju,High_Intent,/promo/spring,Conversion,21772,1002,882,71,8.05%,773544,6744716,94996,8.72,53.53%,123,71,71,26,13,52%,8,Variant_B
2026-04-28,CMP-2026-008,Loyalty_Winback,Paid_Social,meta_paid,Nonbrand_Generic,Product_Feed,Mobile,Gyeonggi,Price_Sensitive,/checkout,Retention,22189,399,361,26,7.2%,362691,2520102,96927,6.95,56.42%,49,28,26,12,6,57%,7,Control
2026-04-29,CMP-2026-009,Product_Demo_Trial,Email,newsletter_email,Product_Viewers,Newsletter,Desktop,Incheon,Dormant_Users,/blog/cvr-guide,Awareness,22606,644,599,46,7.68%,519064,4547468,98858,8.76,57.45%,86,55,46,23,13,76%,8,Control
2026-04-30,CMP-2026-010,Weekend_Flash_Sale,Referral,review_blog_referral,Promo_Seekers,Native_Article,Tablet,Ulsan,Returning_Visitors,/pricing,Consideration,23023,576,449,31,6.9%,474048,3124459,100789,6.59,60.24%,63,44,34,20,10,13%,6,Control
2026-05-01,CMP-2026-001,Spring_CVR_Boost,Paid_Social,meta_paid,Brand_Terms,Static_Image,Desktop,Seoul,Cart_Abandoners,/pricing,Awareness,20640,588,473,32,6.77%,564480,2807040,87720,4.97,48.52%,58,32,32,11,6,18%,7,Variant_A
2026-05-02,CMP-2026-002,Remarketing_Checkout,Email,newsletter_email,Lookalike_1pct,Short_Video,Tablet,Daegu,VIP_Customers,/promo/spring,Consideration,21057,821,681,44,6.46%,703597,3944644,89651,5.61,50.66%,84,49,44,20,10,23%,7,Variant_A
2026-05-03,CMP-2026-003,Search_Brand_Core,Referral,review_blog_referral,New_Visitors,Carousel,Mobile,Gwangju,New_Prospects,/checkout,Conversion,21474,762,652,43,6.6%,665988,3938026,91582,5.91,52.16%,84,54,43,22,12,28%,7,Variant_A
2026-05-04,CMP-2026-004,Social_Video_Launch,Paid_Search,naver_cpc,Retargeting_7d,Text_Search,Desktop,Gangwon,High_Intent,/blog/cvr-guide,Retention,21891,1095,964,73,7.57%,1249395,6826449,93513,5.46,52.5%,137,96,73,38,24,33%,8,Variant_B
2026-05-05,CMP-2026-005,Email_Nurture_Series,Organic_Search,google_organic,Cart_Abandoners,Product_Feed,Tablet,Busan,Price_Sensitive,/pricing,Awareness,22308,948,858,41,4.78%,860784,3913204,95444,4.55,58.11%,102,53,59,38,7,38%,7,Variant_B
2026-05-06,CMP-2026-006,Affiliate_Review_Push,Affiliate,partner_affiliate,Loyalty_Members,Newsletter,Mobile,Daejeon,Dormant_Users,/promo/spring,Conversion,22725,1045,972,77,7.92%,966625,7497875,97375,7.76,55.41%,130,77,77,23,18,57%,8,Variant_B
2026-05-07,CMP-2026-007,Display_Prospecting,Paid_Search,google_cpc,Competitor_Terms,Static_Image,Desktop,Jeju,Returning_Visitors,/checkout,Retention,23142,671,523,43,8.22%,799832,4270158,99306,5.34,56.69%,74,47,43,15,12,48%,8,Control
2026-05-08,CMP-2026-008,Loyalty_Winback,Paid_Social,kakao_paid,Nonbrand_Generic,Short_Video,Tablet,Gyeonggi,Cart_Abandoners,/blog/cvr-guide,Awareness,23559,507,408,22,5.39%,547053,2227214,101237,4.07,62.35%,48,34,22,14,7,53%,6,Control
2026-05-09,CMP-2026-009,Product_Demo_Trial,Display,programmatic_cpm,Product_Viewers,Carousel,Mobile,Incheon,VIP_Customers,/pricing,Consideration,23976,599,497,31,6.24%,584624,3198208,103168,5.47,49.26%,64,33,31,19,6,58%,7,Control
2026-05-10,CMP-2026-010,Weekend_Flash_Sale,Direct,brand_direct,Promo_Seekers,Text_Search,Desktop,Ulsan,New_Prospects,/promo/spring,Conversion,24393,695,594,53,8.92%,690135,5570247,105099,8.07,47.21%,95,55,53,26,12,63%,8,Variant_A
2026-05-11,CMP-2026-001,Spring_CVR_Boost,Paid_Social,kakao_paid,Brand_Terms,Product_Feed,Mobile,Seoul,High_Intent,/promo/spring,Consideration,22010,704,620,41,6.61%,795520,3773230,92030,4.74,52.15%,76,49,43,15,11,14%,7,Variant_A
2026-05-12,CMP-2026-002,Remarketing_Checkout,Display,programmatic_cpm,Lookalike_1pct,Newsletter,Desktop,Daegu,Price_Sensitive,/checkout,Conversion,22427,796,720,67,9.31%,817492,6295387,93961,7.7,50.07%,109,76,67,21,22,19%,8,Variant_A
2026-05-13,CMP-2026-003,Search_Brand_Core,Direct,brand_direct,New_Visitors,Native_Article,Tablet,Gwangju,Dormant_Users,/blog/cvr-guide,Retention,22844,891,829,49,5.91%,930204,4698708,95892,5.05,56.53%,101,53,49,28,9,38%,7,Variant_B
2026-05-14,CMP-2026-004,Social_Video_Launch,Paid_Social,meta_paid,Retargeting_7d,Static_Image,Mobile,Gangwon,Returning_Visitors,/pricing,Awareness,23261,989,771,31,4.02%,1168009,3032513,97823,2.6,60.87%,83,48,39,30,7,29%,5,Variant_B
2026-05-15,CMP-2026-005,Email_Nurture_Series,Email,newsletter_email,Cart_Abandoners,Short_Video,Desktop,Busan,Cart_Abandoners,/promo/spring,Consideration,23678,1255,1010,73,7.23%,1352890,7282042,99754,5.38,58.08%,145,93,73,44,20,34%,7,Variant_B
2026-05-16,CMP-2026-006,Affiliate_Review_Push,Referral,review_blog_referral,Loyalty_Members,Text_Search,Tablet,Daejeon,VIP_Customers,/checkout,Conversion,24095,434,360,26,7.22%,475230,2643810,101685,5.56,59.79%,46,32,26,9,9,39%,7,Control
2026-05-17,CMP-2026-007,Display_Prospecting,Paid_Search,naver_cpc,Competitor_Terms,Product_Feed,Mobile,Jeju,New_Prospects,/blog/cvr-guide,Retention,6012,195,167,12,7.19%,265590,1243392,103616,4.68,47.93%,22,12,12,5,2,44%,7,Control
2026-05-18,CMP-2026-008,Loyalty_Winback,Organic_Search,google_organic,Nonbrand_Generic,Newsletter,Desktop,Gyeonggi,High_Intent,/pricing,Awareness,6429,161,142,8,5.63%,181769,844376,105547,4.65,51.82%,17,10,11,5,2,49%,7,Control
2026-05-19,CMP-2026-009,Product_Demo_Trial,Affiliate,partner_affiliate,Product_Viewers,Native_Article,Tablet,Incheon,Price_Sensitive,/promo/spring,Consideration,6846,195,176,12,6.82%,223470,1289736,107478,5.77,51.85%,24,15,12,7,3,54%,7,Variant_A
2026-05-20,CMP-2026-010,Weekend_Flash_Sale,Paid_Search,google_cpc,Promo_Seekers,Static_Image,Mobile,Ulsan,Dormant_Users,/checkout,Conversion,7263,312,290,25,8.62%,440856,2735225,109409,6.2,51.03%,46,32,25,13,8,73%,8,Variant_A
2026-05-21,CMP-2026-001,Spring_CVR_Boost,Organic_Search,google_organic,Brand_Terms,Short_Video,Tablet,Seoul,Returning_Visitors,/checkout,Consideration,4880,173,135,9,6.67%,204140,867060,96340,4.25,55.46%,17,9,9,3,2,64%,7,Variant_A
2026-05-22,CMP-2026-002,Remarketing_Checkout,Affiliate,partner_affiliate,Lookalike_1pct,Carousel,Mobile,Daegu,Cart_Abandoners,/blog/cvr-guide,Conversion,5297,207,167,15,8.98%,247779,1474065,98271,5.95,53.93%,25,15,15,5,3,15%,8,Variant_B
2026-05-23,CMP-2026-003,Search_Brand_Core,Paid_Search,google_cpc,New_Visitors,Text_Search,Desktop,Gwangju,VIP_Customers,/pricing,Retention,5714,306,254,24,9.45%,447984,2404848,100202,5.37,54.97%,40,26,24,9,7,20%,8,Variant_B
2026-05-24,CMP-2026-004,Social_Video_Launch,Paid_Social,kakao_paid,Retargeting_7d,Product_Feed,Tablet,Gangwon,New_Prospects,/promo/spring,Awareness,6131,282,241,10,4.15%,380982,1021330,102133,2.68,64.09%,26,18,18,9,3,25%,5,Variant_B
2026-05-25,CMP-2026-005,Email_Nurture_Series,Display,programmatic_cpm,Cart_Abandoners,Native_Article,Mobile,Busan,High_Intent,/checkout,Consideration,6548,118,104,5,4.81%,147264,210320,42064,1.43,51.27%,13,7,5,5,1,30%,6,Control
2026-01-01,CMP-2026-006,Affiliate_Review_Push,Direct,brand_direct,Loyalty_Members,Static_Image,Desktop,Daejeon,Price_Sensitive,/blog/cvr-guide,Conversion,6965,150,136,10,7.35%,189750,439950,43995,2.32,49.41%,18,10,10,3,2,35%,6,Control
2026-01-02,CMP-2026-007,Display_Prospecting,Paid_Social,meta_paid,Competitor_Terms,Short_Video,Tablet,Jeju,Dormant_Users,/pricing,Retention,7382,185,172,11,6.4%,259370,505186,45926,1.95,52.44%,21,13,11,5,3,54%,6,Control
2026-01-03,CMP-2026-008,Loyalty_Winback,Email,newsletter_email,Nonbrand_Generic,Carousel,Mobile,Gyeonggi,Returning_Visitors,/promo/spring,Awareness,7799,277,216,13,6.02%,359823,622141,47857,1.73,54.67%,27,19,14,7,4,45%,6,Variant_A
2026-01-04,CMP-2026-009,Product_Demo_Trial,Referral,review_blog_referral,Product_Viewers,Text_Search,Desktop,Incheon,Cart_Abandoners,/checkout,Consideration,8216,263,212,14,6.6%,346108,697032,49788,2.01,55.56%,28,15,15,8,3,50%,6,Variant_A
2026-01-05,CMP-2026-010,Weekend_Flash_Sale,Paid_Search,naver_cpc,Promo_Seekers,Product_Feed,Tablet,Ulsan,VIP_Customers,/blog/cvr-guide,Conversion,8633,401,333,29,8.71%,634783,1499851,51719,2.36,54.31%,53,31,29,15,7,55%,7,Variant_A
2026-01-06,CMP-2026-001,Spring_CVR_Boost,Email,newsletter_email,Brand_Terms,Newsletter,Desktop,Seoul,New_Prospects,/blog/cvr-guide,Conversion,6250,288,246,25,10.16%,388800,966250,38650,2.49,53.98%,38,25,25,6,7,60%,7,Variant_B
2026-01-07,CMP-2026-002,Remarketing_Checkout,Referral,review_blog_referral,Lookalike_1pct,Native_Article,Tablet,Daegu,High_Intent,/pricing,Retention,6667,283,249,19,7.63%,386861,771039,40581,1.99,59.22%,34,24,19,7,6,65%,7,Variant_B
2026-01-08,CMP-2026-003,Search_Brand_Core,Paid_Search,naver_cpc,New_Visitors,Static_Image,Mobile,Gwangju,Price_Sensitive,/promo/spring,Awareness,7084,404,366,24,6.56%,312696,1020288,42512,3.26,48.82%,47,24,24,12,4,16%,7,Variant_B
2026-01-09,CMP-2026-004,Social_Video_Launch,Organic_Search,google_organic,Retargeting_7d,Carousel,Desktop,Gangwon,Dormant_Users,/checkout,Consideration,7501,135,126,10,7.94%,73035,444430,44443,6.09,48.58%,18,10,10,5,2,35%,8,Control
2026-01-10,CMP-2026-005,Email_Nurture_Series,Affiliate,partner_affiliate,Cart_Abandoners,Text_Search,Tablet,Busan,Returning_Visitors,/blog/cvr-guide,Conversion,7918,170,133,10,7.52%,94860,463740,46374,4.89,50.87%,19,12,10,6,3,26%,8,Control
2026-01-11,CMP-2026-006,Affiliate_Review_Push,Paid_Search,google_cpc,Loyalty_Members,Product_Feed,Mobile,Daejeon,Cart_Abandoners,/pricing,Retention,8335,300,242,16,6.61%,247500,772880,48305,3.12,53.85%,29,20,18,6,5,31%,7,Control
2026-01-12,CMP-2026-007,Display_Prospecting,Paid_Social,kakao_paid,Competitor_Terms,Newsletter,Desktop,Jeju,VIP_Customers,/promo/spring,Awareness,8752,249,207,10,4.83%,177288,502360,50236,2.83,58.04%,22,11,10,6,2,36%,6,Variant_A
2026-01-13,CMP-2026-008,Loyalty_Winback,Display,programmatic_cpm,Nonbrand_Generic,Native_Article,Tablet,Gyeonggi,New_Prospects,/checkout,Consideration,9169,293,251,14,5.58%,178437,730338,52167,4.09,58.69%,30,17,14,9,3,41%,7,Variant_A
2026-01-14,CMP-2026-009,Product_Demo_Trial,Direct,brand_direct,Product_Viewers,Static_Image,Mobile,Incheon,High_Intent,/blog/cvr-guide,Conversion,9586,340,299,22,7.36%,212840,1190156,54098,5.59,57.9%,42,27,22,12,6,46%,7,Variant_A
2026-01-15,CMP-2026-010,Weekend_Flash_Sale,Paid_Social,meta_paid,Promo_Seekers,Short_Video,Desktop,Ulsan,Price_Sensitive,/pricing,Retention,10003,390,353,26,7.37%,297570,1456754,56029,4.9,59.58%,51,36,26,16,9,51%,7,Variant_B
2026-01-16,CMP-2026-001,Spring_CVR_Boost,Display,programmatic_cpm,Brand_Terms,Carousel,Mobile,Seoul,Dormant_Users,/pricing,Conversion,7620,324,301,23,7.64%,213840,988080,42960,4.62,47.3%,40,23,23,7,4,70%,8,Variant_B
2026-01-17,CMP-2026-002,Remarketing_Checkout,Direct,brand_direct,Lookalike_1pct,Text_Search,Desktop,Daegu,Returning_Visitors,/promo/spring,Retention,8037,370,289,23,7.96%,250490,1032493,44891,4.12,48.56%,40,23,23,8,5,61%,8,Variant_B
2026-01-18,CMP-2026-003,Search_Brand_Core,Paid_Social,meta_paid,New_Visitors,Newsletter,Tablet,Gwangju,Cart_Abandoners,/checkout,Awareness,8454,152,122,7,5.74%,123728,327754,46822,2.65,53.36%,15,10,7,4,2,12%,6,Control
2026-01-19,CMP-2026-004,Social_Video_Launch,Email,newsletter_email,Retargeting_7d,Native_Article,Mobile,Gangwon,VIP_Customers,/blog/cvr-guide,Consideration,8871,253,210,17,8.1%,179883,828801,48753,4.61,51.76%,31,22,17,8,6,17%,8,Control
2026-01-20,CMP-2026-005,Email_Nurture_Series,Referral,review_blog_referral,Cart_Abandoners,Static_Image,Desktop,Busan,New_Prospects,/pricing,Conversion,9288,232,198,18,9.09%,168896,912312,50684,5.4,52.07%,32,18,18,9,3,22%,8,Control
2026-01-21,CMP-2026-006,Affiliate_Review_Push,Paid_Search,naver_cpc,Loyalty_Members,Short_Video,Tablet,Daejeon,High_Intent,/promo/spring,Retention,9705,383,337,23,6.82%,381085,1210145,52615,3.18,56.95%,41,24,23,8,5,27%,7,Variant_A
2026-01-22,CMP-2026-007,Display_Prospecting,Organic_Search,google_organic,Competitor_Terms,Carousel,Mobile,Jeju,Price_Sensitive,/checkout,Awareness,10122,324,293,12,4.1%,246888,654552,54546,2.65,62.46%,29,19,20,8,3,32%,5,Variant_A
2026-01-23,CMP-2026-008,Loyalty_Winback,Affiliate,partner_affiliate,Nonbrand_Generic,Text_Search,Desktop,Gyeonggi,Dormant_Users,/blog/cvr-guide,Consideration,10539,374,348,22,6.32%,291346,1242494,56477,4.26,61.05%,44,31,26,12,7,51%,6,Variant_A
2026-01-24,CMP-2026-009,Product_Demo_Trial,Paid_Search,google_cpc,Product_Viewers,Product_Feed,Tablet,Incheon,Returning_Visitors,/pricing,Conversion,10956,548,427,35,8.2%,573208,2044280,58408,3.57,46.52%,63,35,35,17,6,42%,8,Variant_B
2026-01-25,CMP-2026-010,Weekend_Flash_Sale,Paid_Social,kakao_paid,Promo_Seekers,Newsletter,Mobile,Ulsan,Cart_Abandoners,/promo/spring,Retention,11373,483,389,25,6.43%,450639,1508475,60339,3.35,50.7%,53,31,25,17,6,47%,7,Variant_B
2026-01-26,CMP-2026-001,Spring_CVR_Boost,Affiliate,partner_affiliate,Brand_Terms,Native_Article,Tablet,Seoul,VIP_Customers,/promo/spring,Conversion,8990,414,344,29,8.43%,343620,1370830,47270,3.99,49.6%,48,31,29,8,8,52%,8,Variant_B
2026-01-27,CMP-2026-002,Remarketing_Checkout,Paid_Search,google_cpc,Lookalike_1pct,Short_Video,Mobile,Daegu,New_Prospects,/checkout,Retention,9407,273,233,18,7.73%,299481,885618,49201,2.96,52.28%,32,22,18,7,6,57%,7,Control
2026-01-28,CMP-2026-003,Search_Brand_Core,Paid_Social,kakao_paid,New_Visitors,Carousel,Desktop,Gwangju,High_Intent,/blog/cvr-guide,Awareness,9824,211,186,11,5.91%,207624,562452,51132,2.71,56.53%,23,12,13,6,2,62%,6,Control
2026-01-29,CMP-2026-004,Social_Video_Launch,Display,programmatic_cpm,Retargeting_7d,Text_Search,Tablet,Gangwon,Price_Sensitive,/pricing,Consideration,10241,256,232,16,6.9%,225536,849008,53063,3.76,56.84%,31,18,17,9,4,13%,7,Control
2026-01-30,CMP-2026-005,Email_Nurture_Series,Direct,brand_direct,Cart_Abandoners,Product_Feed,Mobile,Busan,Dormant_Users,/promo/spring,Conversion,10658,304,283,24,8.48%,272992,1319856,54994,4.83,56.33%,44,28,24,12,7,32%,8,Variant_A
2026-01-31,CMP-2026-006,Affiliate_Review_Push,Paid_Social,meta_paid,Loyalty_Members,Newsletter,Desktop,Daejeon,Returning_Visitors,/checkout,Awareness,11075,354,276,18,6.52%,366390,1024650,56925,2.8,60.77%,34,24,18,7,6,23%,5,Variant_A
2026-02-01,CMP-2026-007,Display_Prospecting,Email,newsletter_email,Competitor_Terms,Native_Article,Tablet,Jeju,Cart_Abandoners,/blog/cvr-guide,Consideration,11492,488,393,25,6.36%,454816,1471400,58856,3.24,49.1%,48,25,25,11,5,28%,7,Variant_A
2026-02-02,CMP-2026-008,Loyalty_Winback,Referral,review_blog_referral,Nonbrand_Generic,Static_Image,Mobile,Gyeonggi,VIP_Customers,/pricing,Conversion,11909,464,385,25,6.49%,440336,1519675,60787,3.45,50.61%,50,29,25,13,6,33%,7,Variant_B
2026-02-03,CMP-2026-009,Product_Demo_Trial,Paid_Search,naver_cpc,Product_Viewers,Short_Video,Desktop,Incheon,New_Prospects,/promo/spring,Retention,12326,659,563,42,7.46%,801344,2634156,62718,3.29,50.96%,80,51,42,22,12,38%,7,Variant_B
2026-02-04,CMP-2026-010,Weekend_Flash_Sale,Organic_Search,google_organic,Promo_Seekers,Carousel,Tablet,Ulsan,High_Intent,/checkout,Awareness,12743,586,516,25,4.84%,576038,1616225,64649,2.81,56.32%,61,43,39,23,8,43%,6,Variant_B
2026-02-05,CMP-2026-001,Spring_CVR_Boost,Referral,review_blog_referral,Brand_Terms,Product_Feed,Desktop,Seoul,Price_Sensitive,/checkout,Retention,10360,186,168,12,7.14%,186000,618960,51580,3.33,54.8%,21,12,12,4,2,48%,7,Control
2026-02-06,CMP-2026-002,Remarketing_Checkout,Paid_Search,naver_cpc,Lookalike_1pct,Newsletter,Tablet,Daegu,Dormant_Users,/blog/cvr-guide,Awareness,10777,350,326,20,6.13%,443450,1070220,53511,2.41,57.92%,39,23,20,9,5,67%,6,Control
2026-02-07,CMP-2026-003,Search_Brand_Core,Organic_Search,google_organic,New_Visitors,Native_Article,Mobile,Gwangju,Returning_Visitors,/pricing,Consideration,11194,280,218,13,5.96%,289520,720746,55442,2.49,59.86%,27,17,13,7,4,58%,6,Control
2026-02-08,CMP-2026-004,Social_Video_Launch,Affiliate,partner_affiliate,Retargeting_7d,Static_Image,Desktop,Gangwon,Cart_Abandoners,/promo/spring,Conversion,11611,331,266,25,9.4%,347881,1434325,57373,4.12,56.74%,42,29,25,10,8,63%,8,Variant_A
2026-02-09,CMP-2026-005,Email_Nurture_Series,Paid_Search,google_cpc,Cart_Abandoners,Short_Video,Tablet,Busan,VIP_Customers,/checkout,Retention,12028,517,429,36,8.39%,681406,2134944,59304,3.13,46.25%,67,36,36,19,6,14%,8,Variant_A
2026-02-10,CMP-2026-006,Affiliate_Review_Push,Paid_Social,kakao_paid,Loyalty_Members,Carousel,Mobile,Daejeon,New_Prospects,/blog/cvr-guide,Awareness,12445,442,378,22,5.82%,532610,1347170,61235,2.53,51.55%,43,25,28,9,5,19%,6,Variant_A
2026-02-11,CMP-2026-007,Display_Prospecting,Display,programmatic_cpm,Competitor_Terms,Text_Search,Desktop,Jeju,High_Intent,/pricing,Consideration,12862,502,442,34,7.69%,553204,2147644,63166,3.88,50.63%,60,38,34,13,10,24%,8,Variant_B
2026-02-12,CMP-2026-008,Loyalty_Winback,Direct,brand_direct,Nonbrand_Generic,Product_Feed,Tablet,Gyeonggi,Price_Sensitive,/promo/spring,Conversion,13279,564,510,34,6.67%,631116,2213298,65097,3.51,53.76%,66,46,34,17,11,29%,7,Variant_B
2026-02-13,CMP-2026-009,Product_Demo_Trial,Paid_Social,meta_paid,Product_Viewers,Newsletter,Mobile,Incheon,Dormant_Users,/checkout,Retention,13696,630,586,34,5.8%,791280,2278952,67028,2.88,56.68%,73,38,34,23,6,48%,6,Variant_B
2026-02-14,CMP-2026-010,Weekend_Flash_Sale,Email,newsletter_email,Promo_Seekers,Static_Image,Desktop,Ulsan,Returning_Visitors,/blog/cvr-guide,Awareness,14113,353,275,17,6.18%,407009,1172303,68959,2.88,57.85%,37,21,17,12,4,39%,6,Control
2026-02-15,CMP-2026-001,Spring_CVR_Boost,Direct,brand_direct,Brand_Terms,Short_Video,Mobile,Seoul,Cart_Abandoners,/blog/cvr-guide,Retention,11730,252,203,13,6.4%,294840,726570,55890,2.46,59.24%,24,15,14,5,4,44%,6,Control
2026-02-16,CMP-2026-002,Remarketing_Checkout,Paid_Social,meta_paid,Lookalike_1pct,Carousel,Desktop,Daegu,VIP_Customers,/pricing,Awareness,12147,304,252,14,5.56%,397328,809494,57821,2.04,62.12%,28,20,19,7,5,49%,5,Control
2026-02-17,CMP-2026-003,Search_Brand_Core,Email,newsletter_email,New_Visitors,Text_Search,Tablet,Gwangju,New_Prospects,/promo/spring,Consideration,12564,446,381,29,7.61%,536984,1732808,59752,3.23,47.35%,53,29,29,13,5,54%,8,Variant_A
2026-02-18,CMP-2026-004,Social_Video_Launch,Referral,review_blog_referral,Retargeting_7d,Product_Feed,Mobile,Gangwon,High_Intent,/checkout,Conversion,12981,415,365,28,7.67%,506715,1727124,61683,3.41,48.96%,53,31,28,14,6,59%,8,Variant_A
2026-02-19,CMP-2026-005,Email_Nurture_Series,Paid_Search,naver_cpc,Cart_Abandoners,Newsletter,Desktop,Busan,Price_Sensitive,/blog/cvr-guide,Retention,13398,623,564,49,8.69%,927024,3117086,63614,3.36,49.23%,89,57,49,25,14,64%,8,Variant_A
2026-02-20,CMP-2026-006,Affiliate_Review_Push,Organic_Search,google_organic,Loyalty_Members,Native_Article,Tablet,Daejeon,Dormant_Users,/pricing,Awareness,13815,539,501,29,5.79%,676445,1900805,65545,2.81,54.99%,57,40,32,12,10,29%,6,Variant_B
2026-02-21,CMP-2026-007,Display_Prospecting,Affiliate,partner_affiliate,Competitor_Terms,Static_Image,Mobile,Jeju,Returning_Visitors,/promo/spring,Consideration,14232,605,472,34,7.2%,769560,2294184,67476,2.98,54.72%,62,34,34,14,6,20%,6,Variant_B
2026-02-22,CMP-2026-008,Loyalty_Winback,Paid_Search,google_cpc,Nonbrand_Generic,Short_Video,Desktop,Gyeonggi,Cart_Abandoners,/checkout,Conversion,14649,835,672,68,10.12%,1285065,4719676,69407,3.67,52.33%,110,68,68,23,16,25%,8,Variant_B
2026-02-23,CMP-2026-009,Product_Demo_Trial,Paid_Social,kakao_paid,Product_Viewers,Text_Search,Tablet,Incheon,VIP_Customers,/blog/cvr-guide,Retention,15066,271,225,13,5.78%,386446,927394,71338,2.4,60.11%,28,18,13,9,4,30%,5,Control
